,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
578,40.192326,42.8,27.869808,26.73,1.3528123,1.53,9.557193,8.97,10.61896,10.59,301.13947,304.0,3.5481725,3.49,216.36275,220.0
2135,33.5549,32.8,38.948776,36.98,1.2009869,0.77,8.284436,8.07,10.789021,10.21,426.48395,427.2,2.311891,1.72,402.47913,403.8
1282,63.657623,65.9,18.3117,18.78,3.1418898,3.01,10.932319,11.48,12.667843,13.56,294.7233,296.5,5.3877897,5.05,242.39597,241.8
1743,39.14003,38.9,33.285225,33.83,1.7788643,1.0,8.708732,9.19,10.908307,11.6,372.47107,375.6,3.2674427,2.35,335.8621,341.5
1854,60.061558,59.7,20.167904,20.87,2.7664795,2.42,9.789615,10.2,12.28778,12.58,339.35303,336.8,4.2079816,3.88,321.64066,317.9
1499,53.361973,51.1,24.777481,25.87,2.5247374,1.81,10.045414,10.43,12.022636,12.57,329.9829,324.2,4.6055737,3.52,285.41614,281.4
1510,53.22421,53.2,24.303421,25.65,2.6432838,1.91,9.959246,10.78,11.842954,13.09,321.77402,321.4,4.611316,3.58,276.27457,277.4
1522,31.347225,32.0,32.678043,34.42,0.057652757,0.82,8.574114,7.85,9.810537,9.64,373.7886,376.6,1.7198471,2.42,323.3778,324.6
746,38.571297,36.3,28.17373,29.97,1.0932895,1.08,9.230049,9.03,10.578837,9.94,307.1988,310.5,3.2017984,3.42,225.07109,227.7
1280,64.55853,65.7,18.373402,18.91,3.1686113,3.02,11.093269,11.33,12.8123865,13.44,298.61618,298.1,5.5051413,5.0,247.34122,246.3
773,40.63229,38.6,28.653442,29.47,1.4839109,1.21,9.723237,9.43,10.6887455,10.43,306.81598,306.7,3.7387109,3.49,223.97908,225.4
2140,35.103878,32.9,38.774544,37.96,1.3537915,0.78,8.499202,8.19,10.991977,10.31,424.94904,425.2,2.5252814,1.71,398.62552,400.0
2106,45.195942,45.0,29.185974,29.0,1.9786365,1.4,8.723987,9.19,11.131419,11.49,376.1335,374.3,3.0737615,2.69,357.96365,357.6
1333,36.495255,37.2,31.184093,33.5,1.1803892,1.02,9.132207,9.48,10.44523,11.02,334.1817,337.8,3.4103236,3.34,270.31903,270.5
