,Maximum Pressure(predicted),Crank Angle at Maximum Pressure(predicted),Maximum Rate of Pressure Rise(predicted),BMEP(predicted),IMEP(predicted),BSFC(predicted),BSNOx(predicted),BSCO(predicted)
578,41.25933,27.432543,2.1030579,9.011494,10.78783,303.3091,4.018381,217.69061
2135,32.20628,37.308,0.6539917,7.7399178,9.826553,429.3053,1.3680779,404.57175
1282,64.59371,19.05404,2.6114578,11.117397,13.669003,295.0317,4.8862762,241.246
1743,39.932472,34.230484,1.246048,9.199284,11.525459,378.28162,2.09235,342.45273
1854,59.056873,20.745958,2.5674782,9.826672,12.435478,338.0326,3.8981605,319.8603
1499,51.614544,25.531473,2.2745056,10.028759,12.251808,326.5405,3.50941,283.10114
1510,53.031704,25.650583,2.2588882,10.595974,12.828133,320.52072,3.4708986,277.48846
1522,31.291355,34.401558,0.80996704,8.427532,10.150871,376.7096,2.8816404,325.69418
746,38.738842,29.127947,1.3087921,9.073658,10.808315,309.74155,3.825531,226.71141
1280,64.772766,19.049677,2.545578,11.072521,13.593071,297.6107,4.911052,244.29283
773,40.488094,28.631437,1.5505867,9.566784,11.035603,306.5372,3.969326,222.81189
2140,32.169765,37.29792,0.6382675,7.8514595,9.898811,426.01624,1.3553787,400.80536
2106,43.9834,29.118402,1.3153305,8.600246,11.118813,376.029,2.2835188,360.2737
1333,37.70677,32.355484,1.2016029,9.171932,11.514481,336.70325,3.7187457,271.363
1106,49.80928,23.779898,1.468956,9.845692,11.0980015,302.7961,4.552909,236.13393
2066,56.78104,22.142626,2.4087448,9.498348,12.247536,349.5105,3.3103487,335.98608
1729,37.962414,33.8201,1.167099,8.595531,10.947144,376.17383,2.438746,339.01462
1939,36.682175,34.524155,0.8900223,8.379475,10.733604,391.90106,1.9563471,364.01096
1604,62.338905,15.484819,3.2402878,9.533848,11.537767,327.92728,4.557374,302.83435
1657,62.47855,20.096567,2.8649712,10.745594,13.24292,322.25052,4.304293,293.77292
1857,59.592747,20.709658,2.5784225,9.968472,12.585819,336.9251,3.8767142,319.04337
1123,51.005062,23.305368,1.6160316,10.3298,11.447647,296.77472,4.4745784,229.57942
1674,62.569843,20.48575,2.854187,11.0947,13.410423,324.74405,3.7566657,298.26166
1414,69.64302,14.224459,3.6591644,11.062431,13.18082,303.5846,5.095894,266.81067
1951,55.707813,15.861429,3.0587769,7.595791,9.249634,368.33072,4.243948,353.77524
1314,52.971798,25.29436,1.7759018,10.218487,12.629677,310.2526,4.092901,253.75598
1133,32.40886,33.327644,1.007637,9.169842,9.92989,336.9398,3.379181,261.3491
1060,59.035366,18.444353,2.4940948,9.940632,11.502295,290.97165,4.9594197,227.5004
1649,59.353073,20.020006,2.7965508,9.981106,12.328384,328.9492,4.1738954,300.6728
1700,52.3585,26.5651,2.1015968,10.052044,12.610451,343.0099,3.3333097,311.35092
1958,65.13663,13.563196,3.542244,8.997509,11.142811,348.4768,4.586827,337.0311
913,51.158318,22.317621,1.8455124,10.134899,11.354656,289.50864,5.1462317,214.50174
1906,49.71422,26.993189,1.7338486,9.47192,12.141586,351.01282,3.0531392,328.5165
1127,51.22947,23.261957,1.5104904,10.363735,11.349247,300.56494,4.568547,234.18369
1848,56.66698,20.819674,2.4794312,9.283878,11.829208,341.003,3.8750048,322.6843
1033,70.47074,12.609301,3.7468376,9.560955,12.011028,285.48047,5.590645,224.36884
1712,52.953,26.708948,2.0996513,10.408085,12.884102,341.4737,3.120974,310.26358
1518,52.19013,25.667784,2.2655602,10.422428,12.569975,322.90796,3.1137223,281.4953
1727,36.891457,34.072655,1.1502762,8.318226,10.640045,382.04456,2.3353395,345.4028
767,40.150555,28.614676,1.5339241,9.443066,10.968849,306.23734,3.9416232,222.70303
1652,60.822533,19.990557,2.8461418,10.3049965,12.701361,327.16428,4.2021422,298.98672
2089,43.1034,29.33858,1.3331985,8.249912,10.846218,376.502,2.6923718,357.1526
1075,61.148777,17.490023,2.5172806,10.496464,11.883499,286.45062,5.0929356,223.06516
1797,50.4012,17.76005,2.5872192,7.312664,9.050709,354.3676,3.7792783,336.7764
1709,52.913326,26.677046,2.102745,10.336605,12.842892,341.82144,3.1810436,310.55087
1159,39.58338,31.260721,1.0977898,9.944317,11.179653,317.25128,3.2696943,244.30911
2041,52.693577,22.745943,2.178051,8.66235,11.253323,354.81375,3.751391,338.08508
1250,52.98207,19.451792,2.4089928,8.739094,10.717098,308.72543,4.7007427,254.31226
2083,41.436756,29.622614,1.2867279,7.905758,10.449894,380.22357,2.6765523,360.18497
1990,47.627758,20.278948,2.4133568,6.965786,8.72509,375.88605,3.6341448,358.70395
748,39.531708,28.775297,1.466568,9.0571785,10.869492,306.2595,4.008311,222.42029
1944,37.12238,34.662743,0.9162903,8.494694,10.850998,395.2444,1.7188526,369.15775
1092,60.6336,17.959162,2.1190948,10.968037,11.957809,291.49738,4.9819407,230.43463
1096,46.24373,25.070177,1.5774803,9.493061,10.740433,305.15387,4.154393,236.89716
1454,60.282578,19.05588,3.0145454,10.248211,12.389168,312.8206,4.288151,272.3627
2050,55.861805,22.412912,2.2986526,9.273052,12.005547,350.02658,3.7775006,334.2283
730,47.817837,23.156096,2.424778,9.839474,10.983976,289.40717,4.3116913,209.96637
1715,52.931583,26.717997,2.0930634,10.46101,12.905632,341.111,3.059589,310.0592
1165,39.77687,31.342867,1.0948029,10.051342,11.269093,317.7291,3.202516,244.8013
1531,38.095276,33.277462,0.97852707,9.250744,11.530525,355.0376,3.0600457,305.18863
909,48.629105,23.241976,1.5952797,9.932049,11.054737,297.9686,4.5966887,224.33412
1121,51.090443,23.232344,1.5113525,10.242039,11.27425,300.55786,4.621202,234.11847
1756,59.7712,13.912912,3.2935028,8.2162285,9.939346,349.79318,4.5960517,333.12857
719,47.312733,23.298933,2.3025932,9.750248,10.887466,293.48138,4.167702,214.95905
1867,61.27029,20.630785,2.6044846,10.410542,13.090544,330.91403,4.008291,312.07953
1966,72.09433,13.386492,3.776657,10.356709,12.947451,339.79666,4.883637,327.85
1150,39.098915,31.278421,1.1123543,9.828609,11.026817,317.91174,3.3622622,244.64719
1142,37.345955,32.003937,0.9792633,9.595554,10.678524,325.44815,3.4238071,252.03671
570,40.280376,27.550573,2.0162315,8.920383,10.627399,304.64978,3.736013,220.28983
1754,39.51608,34.441566,1.1838226,9.454044,11.612385,376.33893,1.8868953,339.97723
1899,49.24122,27.047136,1.7458725,9.2281685,11.942703,355.33057,2.9828544,334.18527
1710,52.155586,26.651205,2.0816612,10.22398,12.6572,342.30298,3.0136933,311.87625
948,38.569706,29.866053,0.7094803,9.302868,10.889469,315.30118,3.8400488,236.95084
1086,60.59506,17.853308,2.1284065,10.832935,11.875427,291.34113,5.057906,230.20737
1136,34.645103,32.733757,0.97824097,9.406734,10.284458,331.1424,3.380971,256.52112
1540,40.086224,33.199352,1.0368576,9.700924,12.016819,350.64636,2.9353352,301.5354
1351,41.921246,32.328175,1.3533096,10.060841,12.511551,328.82172,3.4378152,264.89142
1463,62.964725,19.10589,3.1071205,10.88924,13.103371,309.83328,4.260267,270.23306
1795,51.910866,17.889383,2.669899,7.586071,9.409737,353.37024,4.031923,334.0094
1119,50.419464,23.154398,1.3737335,10.04781,11.067429,300.73257,4.6318727,236.00975
1527,33.580288,34.018776,0.8887863,8.439846,10.4927635,369.72116,2.7797298,320.5999
1840,52.362812,21.179781,2.3114014,8.457706,10.874142,343.11615,3.9330683,322.73367
1073,60.939323,17.716997,2.3342476,10.544308,11.814011,290.8945,5.15809,228.18729
1144,38.227726,31.57216,1.1589584,9.783863,10.862038,320.29733,3.365057,246.4361
709,46.745834,23.456285,2.2823792,9.494488,10.81403,292.29822,4.2223186,213.30077
1708,53.009617,26.567064,2.088295,10.350704,12.894413,338.61792,3.3205404,306.54187
1089,60.61263,17.896212,2.1232033,10.899517,11.915005,291.34238,5.0209303,230.25737
1542,39.223606,33.48725,1.0434532,9.432468,11.765324,355.43146,2.7019634,307.20175
736,48.086765,23.217371,2.4406204,9.943203,11.047588,289.87158,4.3313117,210.17465
557,40.394543,27.55758,2.0343285,8.69611,10.636986,304.5187,3.901998,219.2666
1456,61.543858,19.06602,3.0112495,10.616985,12.843927,307.46722,4.411712,267.16452
972,42.319588,28.344652,0.8563194,10.162273,11.342655,307.78543,4.2424917,230.59369
1511,52.864628,25.667486,2.293499,10.497913,12.694815,323.69986,3.339614,281.21298
1847,57.22837,20.73298,2.5093842,9.354534,11.944218,339.38806,4.017612,320.32748
