,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
1113,50.976795,49.6,23.400562,23.96,1.7335955,1.89,10.335666,10.41,12.124048,11.72,299.87527,301.8,4.633617,4.58,233.5641,237.4
2094,40.508755,44.3,28.11432,29.0,1.754504,1.37,7.758135,9.07,12.019405,11.35,376.8638,375.7,3.150511,2.67,357.56866,358.4
582,41.851257,42.6,28.488811,26.87,1.9121325,1.54,9.992088,8.92,10.909327,10.51,305.875,304.1,4.2982492,3.55,221.51515,219.9
1718,32.93407,30.0,37.605827,35.38,-0.0901109,0.72,8.206206,7.02,8.508464,9.06,410.03418,411.2,2.1891365,1.93,374.3471,373.0
1737,38.79662,38.5,33.567856,33.95,0.49932683,1.0,10.529702,9.09,10.712645,11.46,371.7845,376.8,2.1222289,2.31,337.53113,342.7
1455,60.85534,58.9,19.049505,20.07,2.3647447,2.5,10.347492,10.36,11.963699,12.38,312.06696,313.7,4.7972646,4.31,272.12045,274.5
1166,39.958252,39.5,29.92051,31.44,0.8968916,1.19,10.315072,9.86,11.536248,11.22,318.86093,321.3,3.5747154,3.65,248.34789,250.2
1748,41.055836,39.3,33.020313,34.57,0.70710975,1.02,11.215036,9.35,11.330477,11.78,368.03802,374.2,2.2129595,2.29,332.6441,339.8
1306,53.31386,53.3,23.46592,24.71,1.8361493,2.0,10.79077,10.97,12.448428,12.89,309.24347,307.4,4.5473166,4.35,248.78595,248.8
776,42.773247,38.6,28.230675,29.48,1.7123327,1.21,10.159906,9.43,11.313214,10.43,306.7645,306.7,4.299745,3.49,224.33278,225.4
973,43.66339,43.3,27.58479,28.97,1.2948098,1.49,10.351336,10.51,11.90525,11.55,305.0755,305.4,4.226989,4.75,227.02536,223.8
561,41.81248,42.0,28.327925,26.82,2.2228966,1.49,9.549643,8.87,10.297121,10.37,306.70734,304.8,4.463797,3.33,220.21472,221.2
1215,66.680214,66.5,15.806252,14.94,2.8301396,3.34,10.038013,10.15,12.223585,12.02,301.07297,302.7,5.7802997,5.74,253.76762,251.4
924,53.153908,52.7,22.67697,22.22,1.9439483,2.23,10.55299,10.63,12.548728,11.77,295.31992,294.0,5.0200543,5.21,222.72984,222.0
1352,39.98476,41.5,30.78261,31.96,0.7926621,1.22,10.449917,10.12,11.498775,11.97,331.24796,331.9,3.2632384,3.45,268.43686,269.7
2048,51.470222,54.1,20.80453,22.0,2.637203,2.1,7.697473,9.56,12.357003,11.85,349.8981,352.7,4.2106824,3.48,334.9272,338.8
2095,41.274467,44.3,27.877037,29.0,1.7343086,1.38,8.232192,9.28,11.997409,11.49,370.90918,373.5,3.0555975,2.57,351.2748,354.5
1936,37.419186,37.7,34.339207,35.06,0.7178937,0.95,9.9931345,9.05,11.258243,11.32,389.87845,392.3,2.0496254,2.18,363.24023,362.5
1842,52.27101,53.0,22.082123,22.0,2.0497253,2.09,8.213652,9.08,10.591849,11.28,348.09503,347.2,3.9645498,3.83,329.1065,327.6
740,50.831913,48.7,23.598051,22.98,2.2511032,1.95,10.455238,9.84,12.012958,10.95,293.26993,293.2,4.9242263,4.19,216.26614,217.3
963,42.65999,41.6,28.286127,29.31,1.1079063,1.4,10.114787,10.07,11.78473,11.13,310.58536,308.5,4.187048,4.57,232.62845,229.4
1270,64.706825,65.3,17.649483,18.77,2.7288396,2.97,11.377122,11.4,13.304612,13.46,294.48608,296.8,5.414498,5.07,240.1729,241.7
762,42.547344,38.3,28.404749,29.51,1.7036816,1.19,9.898071,9.29,11.087772,10.33,309.70477,307.8,4.365488,3.47,226.68568,226.5
1064,61.03512,59.7,18.561037,18.24,2.4974744,2.76,10.361884,10.55,12.63404,12.03,293.0499,294.4,5.6566386,5.21,229.26479,232.3
554,41.43899,41.3,28.413477,27.35,2.4316146,1.43,9.308026,8.83,9.888695,10.32,307.13416,305.3,4.5412154,3.17,218.87337,220.8
1547,40.592113,40.5,32.080666,33.27,0.73228264,1.11,10.829191,9.77,11.420632,11.95,352.0656,352.1,2.726745,2.7,303.42603,303.1
