,Learning_Rate,Dropout_Rate,Hidden_units,Batch_size,Validation_MAE,Validation_MSE
0,0.001,0.1,128,32,1238.8858642578125,25.943017959594727
1,0.01,0.1,128,32,452.98638916015625,14.77975082397461
2,0.1,0.1,128,32,2096.08447265625,27.660606384277344
3,0.001,0.1,64,32,1116.8323974609375,22.353708267211914
4,0.01,0.1,64,32,553.5841674804688,12.886138916015625
5,0.1,0.1,64,32,477.80535888671875,14.983604431152344
6,0.001,0.1,32,32,88.69823455810547,5.5705885887146
7,0.01,0.1,32,32,405.3184814453125,10.528520584106445
8,0.1,0.1,32,32,6510.51171875,44.53046417236328
9,0.001,0.1,128,32,192203.515625,302.4712219238281
10,0.01,0.1,128,32,4666.3896484375,45.7672004699707
11,0.1,0.1,128,32,164070.0625,349.4001159667969
12,0.001,0.1,64,32,51431.890625,160.70359802246094
13,0.01,0.1,64,32,3946.303955078125,33.319122314453125
14,0.1,0.1,64,32,8044.92236328125,45.712745666503906
15,0.001,0.1,32,32,741.2787475585938,17.277997970581055
16,0.01,0.1,32,32,2091.96044921875,29.902809143066406
17,0.1,0.1,32,32,70007200.0,7210.1630859375
18,0.001,0.1,128,32,4023467.5,1325.6533203125
19,0.01,0.1,128,32,299716.6875,443.71148681640625
20,0.1,0.1,128,32,42425192.0,5389.6552734375
21,0.001,0.1,64,32,798099.5,705.1351318359375
22,0.01,0.1,64,32,96985.6328125,217.374755859375
23,0.1,0.1,64,32,1539465412608.0,1002630.4375
24,0.001,0.1,32,32,89525.1484375,155.26681518554688
25,0.01,0.1,32,32,10881.8916015625,63.611812591552734
26,0.1,0.1,32,32,1507368320.0,31880.248046875
27,0.001,0.2,128,32,1219.3570556640625,23.2166748046875
28,0.01,0.2,128,32,934.4331665039062,21.94850730895996
29,0.1,0.2,128,32,2408.870849609375,40.067718505859375
30,0.001,0.2,64,32,81.8257064819336,5.161391735076904
31,0.01,0.2,64,32,2195.131591796875,24.61507225036621
32,0.1,0.2,64,32,150.9918975830078,7.597806453704834
33,0.001,0.2,32,32,314.98760986328125,9.54705810546875
34,0.01,0.2,32,32,332.5363464355469,11.806624412536621
35,0.1,0.2,32,32,222.47732543945312,9.4492826461792
36,0.001,0.2,128,32,108881.296875,225.25682067871094
37,0.01,0.2,128,32,6627.2451171875,58.49088668823242
38,0.1,0.2,128,32,73939656.0,5551.26806640625
39,0.001,0.2,64,32,497431.5625,429.991455078125
40,0.01,0.2,64,32,20271.728515625,95.61744689941406
41,0.1,0.2,64,32,2628540.75,1120.2449951171875
42,0.001,0.2,32,32,5480.23779296875,32.956478118896484
43,0.01,0.2,32,32,26679.1171875,102.75628662109375
44,0.1,0.2,32,32,36524.31640625,115.9997329711914
45,0.001,0.2,128,32,14626669.0,2683.17919921875
46,0.01,0.2,128,32,174366.8125,290.4527282714844
47,0.1,0.2,128,32,40276586496.0,140211.140625
48,0.001,0.2,64,32,5135253.5,1566.393798828125
49,0.01,0.2,64,32,732974.125,610.3388061523438
50,0.1,0.2,64,32,3622846720.0,49391.14453125
51,0.001,0.2,32,32,54678.515625,141.8944091796875
52,0.01,0.2,32,32,547336.4375,438.2572021484375
53,0.1,0.2,32,32,5115020.0,1501.1517333984375
54,0.001,0.3,128,32,27616.830078125,82.61972045898438
55,0.01,0.3,128,32,710.5170288085938,18.495067596435547
56,0.1,0.3,128,32,2189.10986328125,39.91972351074219
57,0.001,0.3,64,32,118.84679412841797,6.017107963562012
58,0.01,0.3,64,32,849.2053833007812,18.48120880126953
59,0.1,0.3,64,32,1097.65234375,23.201026916503906
60,0.001,0.3,32,32,615.4740600585938,13.091577529907227
61,0.01,0.3,32,32,741.4484252929688,17.804424285888672
62,0.1,0.3,32,32,800.6387939453125,15.68887996673584
63,0.001,0.3,128,32,130566.6484375,261.43743896484375
64,0.01,0.3,128,32,5709.49462890625,59.219825744628906
65,0.1,0.3,128,32,121299280.0,9328.48046875
66,0.001,0.3,64,32,137098.921875,244.92257690429688
67,0.01,0.3,64,32,49215.55078125,136.06948852539062
68,0.1,0.3,64,32,4073693.25,1593.3414306640625
69,0.001,0.3,32,32,1170.3272705078125,18.22939109802246
70,0.01,0.3,32,32,7298.61572265625,44.963226318359375
71,0.1,0.3,32,32,9470801.0,2525.420166015625
72,0.001,0.3,128,32,27121678.0,3340.23876953125
73,0.01,0.3,128,32,3615064.75,1417.1414794921875
74,0.1,0.3,128,32,29141686550528.0,4627456.5
75,0.001,0.3,64,32,10646111.0,2317.2197265625
76,0.01,0.3,64,32,6374.38330078125,54.816959381103516
77,0.1,0.3,64,32,949176448.0,22326.322265625
78,0.001,0.3,32,32,23558.31640625,107.40987396240234
79,0.01,0.3,32,32,37394.21875,137.5878143310547
80,0.1,0.3,32,32,2848192.0,1266.02099609375
81,0.001,0.1,128,16,3371.193603515625,37.42913818359375
82,0.01,0.1,128,16,4208.4814453125,45.41334915161133
83,0.1,0.1,128,16,432.25897216796875,16.03275489807129
84,0.001,0.1,64,16,1270.7879638671875,22.69824981689453
85,0.01,0.1,64,16,632.6780395507812,14.570762634277344
86,0.1,0.1,64,16,816.6264038085938,22.006986618041992
87,0.001,0.1,32,16,707.16162109375,12.159497261047363
88,0.01,0.1,32,16,524.9402465820312,13.832728385925293
89,0.1,0.1,32,16,2703.87060546875,36.86920166015625
90,0.001,0.1,128,16,70617.3046875,186.16270446777344
91,0.01,0.1,128,16,23672.10546875,101.84963989257812
92,0.1,0.1,128,16,255729.515625,456.786376953125
93,0.001,0.1,64,16,409881.125,475.7040100097656
94,0.01,0.1,64,16,27211.87109375,105.51976776123047
95,0.1,0.1,64,16,447070.875,509.8468017578125
96,0.001,0.1,32,16,11269.77734375,81.69044494628906
97,0.01,0.1,32,16,15169.3359375,71.23493194580078
98,0.1,0.1,32,16,91265104.0,7426.83251953125
99,0.001,0.1,128,16,40897664.0,4179.34033203125
100,0.01,0.1,128,16,145394.578125,262.1580810546875
101,0.1,0.1,128,16,429246054400.0,562378.125
